סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
4003 ,אל-רום ,EL-ROM ,29 ,גולן ,21 ,צפת ,71 ,גולן
2600 ,אילת ,ELAT ,62 ,באר שבע ,63 ,אילת ,0 ,
3765 ,עלי ,ELI ,72 ,שכם ,48 ,אריאל ,73 ,מטה בנימין
4002 ,אלי-עד ,ELI-AD ,29 ,גולן ,22 ,טבריה ,71 ,גולן
1365 ,אליאב ,ELIAV ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש
1248 ,אליפז ,ELIFAZ ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות
730 ,אליפלט ,ELIFELET ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון
841 ,אלישמע ,ELISHAMA ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון
294 ,אילון ,ELON ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר
3579 ,אלון מורה ,ELON MORE ,72 ,שכם ,48 ,אריאל ,72 ,שומרון
1126 ,אילות ,ELOT ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות
3560 ,אלקנה ,ELQANA ,73 ,טול כרם ,349 ,ראש העין ,0 ,
603 ,אלקוש ,ELQOSH ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף
41 ,אליכין ,ELYAKHIN ,41 ,השרון ,32 ,חדרה ,0 ,
682 ,אליקים ,ELYAQIM ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו
204 ,אלישיב ,ELYASHIV ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר
772 ,אמונים ,EMUNIM ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה
687 ,עין איילה ,EN AYYALA ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל
436 ,עין דור ,EN DOR ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
2042 ,עין גדי ,EN GEDI ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר
273 ,עין גב ,EN GEV ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן
1240 ,עין הבשור ,EN HABESOR ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול
367 ,עין העמק ,EN HAEMEQ ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו
167 ,עין החורש ,EN HAHORESH ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
289 ,עין המפרץ ,EN HAMIFRAZ ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר
383 ,עין הנצי"ב ,EN HANAZIV ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות
89 ,עין חרוד (איחוד) ,EN HAROD (IHUD) ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע
82 ,עין חרוד (מאוחד) ,EN HAROD(ME'UHAD) ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע
676 ,עין השלושה ,EN HASHELOSHA ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול
270 ,עין השופט ,EN HASHOFET ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו
1053 ,עין חצבה ,EN HAZEVA ,62 ,באר שבע ,63 ,אילת ,51 ,תמר
74 ,עין הוד ,EN HOD ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל
223 ,עין עירון ,EN IRON ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה
1056 ,עין כרם-בי"ס חקלאי ,EN KAREM-B.S.HAQLA'I ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה
426 ,עין כרמל ,EN KARMEL ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל
880 ,עין שריד ,EN SARID ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון
139 ,עין שמר ,EN SHEMER ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה
1251 ,עין תמר ,EN TAMAR ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר
157 ,עין ורד ,EN WERED ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון
813 ,עין יעקב ,EN YA'AQOV ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף
806 ,עין יהב ,EN YAHAV ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה
4503 ,עין זיוון ,EN ZIWAN ,29 ,גולן ,21 ,צפת ,71 ,גולן
622 ,עין צורים ,EN ZURIM ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר
871 ,עינת ,ENAT ,42 ,פתח תקווה ,349 ,ראש העין ,20 ,דרום השרון
3712 ,ענב ,ENAV ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון
714 ,ארז ,EREZ ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב
71 ,אשבול ,ESHBOL ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים
2021 ,אשל הנשיא ,ESHEL HANASI ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים
1188 ,אשחר ,ESHHAR ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב
3722 ,אשכולות ,ESHKOLOT ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון
740 ,אשתאול ,ESHTA'OL ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
37 ,איתן ,ETAN ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר
886 ,איתנים ,ETANIM ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
1298 ,אתגר ,ETGAR ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב
3880 ,עיבל ,EVAL ,72 ,שכם ,48 ,אריאל ,72 ,שומרון
1081 ,אבן מנחם ,EVEN MENAHEM ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף
783 ,אבן ספיר ,EVEN SAPPIR ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה
400 ,אבן שמואל ,EVEN SHEMU'EL ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר
182 ,אבן יהודה ,EVEN YEHUDA ,41 ,השרון ,41 ,נתניה ,0 ,
369 ,גלעד (אבן יצחק) ,EVEN YIZHAQ(GAL'ED) ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו
376 ,עברון ,EVRON ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר
716 ,אייל ,EYAL ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון
1149 ,עזר ,EZER ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה
328 ,עזוז ,EZUZ ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב
535 ,פסוטה ,FASSUTA ,24 ,עכו ,24 ,עכו ,0 ,
537 ,פוריידיס ,FUREIDIS ,32 ,חדרה ,32 ,חדרה ,0 ,
842 ,געש ,GA'ASH ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון
463 ,געתון ,GA'TON ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר
145 ,גדיש ,GADISH ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע
35 ,גדות ,GADOT ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון
393 ,גלאון ,GAL'ON ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב
1072 ,גן הדרום ,GAN HADAROM ,44 ,רחובות ,44 ,רחובות ,32 ,גדרות
225 ,גן השומרון ,GAN HASHOMERON ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה
239 ,גן חיים ,GAN HAYYIM ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון
1274 ,גן נר ,GAN NER ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע
144 ,גן שלמה ,GAN SHELOMO ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר
72 ,גן שמואל ,GAN SHEMU'EL ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה
311 ,גן שורק ,GAN SOREQ ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה
166 ,גן יבנה ,GAN YAVNE ,44 ,רחובות ,44 ,רחובות ,0 ,
734 ,גן יאשיה ,GAN YOSHIYYA ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
218 ,גני עם ,GANNE AM ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון
1103 ,גני הדר ,GANNE HADAR ,43 ,רמלה ,43 ,רמלה ,30 ,גזר
3823 ,גני מודיעין ,GANNE MODIIN ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין
1371 ,גני טל ,GANNE TAL ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק
229 ,גני תקווה ,GANNE TIQWA ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 ,
862 ,גני יוחנן ,GANNE YOHANAN ,44 ,רחובות ,44 ,רחובות ,30 ,גזר
3758 ,גנים ,GANNIM ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון
836 ,גנות ,GANNOT ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן
549 ,גנות הדר ,GANNOT HADAR ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון
128 ,גת רימון ,GAT RIMMON ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון
340 ,גת (קיבוץ) ,GAT(QIBBUZ) ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב
457 ,גזית ,GAZIT ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
706 ,גיאה ,GE'A ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון
853 ,גאליה ,GE'ALYA ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה
872 ,גאולי תימן ,GE'ULE TEMAN ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר
379 ,גאולים ,GE'ULIM ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון
2550 ,גדרה ,GEDERA ,44 ,רחובות ,44 ,רחובות ,0 ,
39 ,גפן ,GEFEN ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
346 ,גליל ים ,GELIL YAM ,51 ,תל אביב ,57 ,הרצליה ,19 ,חוף השרון
1129 ,גרופית ,GEROFIT ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות
305 ,גשר ,GESHER ,22 ,כנרת ,22 ,טבריה ,7 ,עמק המעיינות
574 ,גשר הזיו ,GESHER HAZIW ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר
4022 ,גשור ,GESHUR ,29 ,גולן ,22 ,טבריה ,71 ,גולן
86 ,גבע ,GEVA ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע
683 ,גבע כרמל ,GEVA KARMEL ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל
3763 ,גבע בנימין ,GEVA BINYAMIN ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין
1344 ,גבעות בר ,GEVA'OT BAR ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון
342 ,גברעם ,GEVAR'AM ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון
133 ,גבת ,GEVAT ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
424 ,גבים ,GEVIM ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב
352 ,גבולות ,GEVULOT ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול
370 ,גזר ,GEZER ,43 ,רמלה ,43 ,רמלה ,30 ,גזר
4501 ,ע'ג'ר ,GHAJAR ,29 ,גולן ,21 ,צפת ,0 ,
196 ,גיבתון ,GIBBETON ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר
442 ,גדעונה ,GID'ONA ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע
736 ,גילת ,GILAT ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים
3606 ,גלגל ,GILGAL ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן
1204 ,גילון ,GILON ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב
745 ,גמזו ,GIMZO ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין
863 ,גינתון ,GINNATON ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין
92 ,גיניגר ,GINNEGAR ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
262 ,גינוסר ,GINNOSAR ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן
1206 ,גיתה ,GITTA ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף
3613 ,גיתית ,GITTIT ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן
1293 ,גבעת אבני ,GIV'AT AVNI ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון
147 ,גבעת ברנר ,GIV'AT BRENNER ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר
1288 ,גבעת אלה ,GIV'AT ELA ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
870 ,גבעת השלושה ,GIV'AT HASHELOSHA ,42 ,פתח תקווה ,349 ,ראש העין ,20 ,דרום השרון
2018 ,גבעת חיים (איחוד) ,GIV'AT HAYYIM (IHUD) ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
173 ,גבעת חיים (מאוחד) ,GIV'AT HAYYIM(ME'UHA ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
207 ,גבעת ח"ן ,GIV'AT HEN ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון
802 ,גבעת כ"ח ,GIV'AT KOAH ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין
360 ,גבעת ניל"י ,GIV'AT NILI ,32 ,חדרה ,32 ,חדרה ,45 ,אלונה
703 ,גבעת עוז ,GIV'AT OZ ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו
1077 ,גבעת שפירא ,GIV'AT SHAPPIRA ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
566 ,גבעת שמש ,GIV'AT SHEMESH ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
681 ,גבעת שמואל ,GIV'AT SHEMU'EL ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 ,
787 ,גבעת יערים ,GIV'AT YE'ARIM ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
919 ,גבעת ישעיהו ,GIV'AT YESHA'YAHU ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
4021 ,גבעת יואב ,GIV'AT YO'AV ,29 ,גולן ,22 ,טבריה ,71 ,גולן
3730 ,גבעת זאב ,GIV'AT ZE'EV ,74 ,ראמאללה ,11 ,ירושלים ,0 ,
6300 ,גבעתיים ,GIV'ATAYIM ,52 ,רמת גן ,52 ,רמת גן ,0 ,
793 ,גבעתי ,GIV'ATI ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה
2014 ,גבעולים ,GIV'OLIM ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב
3644 ,גבעון החדשה ,GIV'ON HAHADASHA ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין
1362 ,גבעות עדן ,GIV'OT EDEN ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
3862 ,גבעות הרואה ,GIV'OT HARO'E ,74 ,ראמאללה ,48 ,אריאל ,73 ,מטה בנימין
1043 ,גיזו ,GIZO ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
3893 ,גודר ,GODER ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן
852 ,גונן ,GONEN ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון
755 ,גורן ,GOREN ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף
1219 ,גורנות הגליל ,GORNOT HAGALIL ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף
3783 ,גבעות ,GVA'OT ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון
675 ,הבונים ,HABONIM ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל
4026 ,חד-נס ,HAD-NES ,29 ,גולן ,22 ,טבריה ,71 ,גולן
191 ,הדר עם ,HADAR AM ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
6500 ,חדרה ,HADERA ,32 ,חדרה ,32 ,חדרה ,0 ,
618 ,חדיד ,HADID ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין
363 ,חפץ חיים ,HAFEZ HAYYIM ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק
3764 ,חגי ,HAGGAI ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון
717 ,חגור ,HAGOR ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון
356 ,הגושרים ,HAGOSHERIM ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון
434 ,החותרים ,HAHOTERIM ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל
4000 ,חיפה ,HAIFA ,31 ,חיפה ,31 ,חיפה ,0 ,
1272 ,חלוץ ,HALUZ ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב
377 ,המעפיל ,HAMA'PIL ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר
343 ,חמדיה ,HAMADYA ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות
993 ,חמאם ,HAMAM ,22 ,כנרת ,22 ,טבריה ,65 ,אל-בטוף
3609 ,חמרה ,HAMRA ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן
280 ,חניתה ,HANITA ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר
1257 ,חנתון ,HANNATON ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
807 ,חניאל ,HANNI'EL ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
423 ,העוגן ,HAOGEN ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
702 ,האון ,HAON ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן
3769 ,הר אדר ,HAR ADAR ,74 ,ראמאללה ,11 ,ירושלים ,0 ,
1261 ,הר עמשא ,HAR AMASA ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר
3603 ,הר גילה ,HAR GILLO ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון
464 ,הראל ,HAR'EL ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה
1203 ,הררית ,HARARIT ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב
1209 ,חרשים ,HARASHIM ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב
1249 ,הרדוף ,HARDUF ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
3870 ,חרשה ,HARESHA ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין
1247 ,חריש ,HARISH ,32 ,חדרה ,32 ,חדרה ,0 ,
1024 ,חרוצים ,HARUZIM ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון
3770 ,חשמונאים ,HASHMONA'IM ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין
677 ,הסוללים ,HASOLELIM ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
4005 ,חספין ,HASPIN ,29 ,גולן ,22 ,טבריה ,71 ,גולן
235 ,חבצלת השרון ,HAVAZZELET HASHARON ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
1169 ,הוואשלה (שבט) ,HAWASHLA ,62 ,באר שבע ,62 ,באר שבע ,0 ,
684 ,היוגב ,HAYOGEV ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
700 ,חצב ,HAZAV ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה
397 ,חצרים ,HAZERIM ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון
13 ,חצבה ,HAZEVA ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה
1047 ,חזון ,HAZON ,22 ,כנרת ,22 ,טבריה ,2 ,מרום הגליל
2034 ,חצור הגלילית ,HAZOR HAGELILIT ,21 ,צפת ,21 ,צפת ,0 ,
406 ,חצור-אשדוד ,HAZOR-ASHDOD ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה
307 ,הזורעים ,HAZORE'IM ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון
250 ,הזורע ,HAZOREA ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו
90 ,חפצי-בה ,HEFZI-BAH ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע
820 ,חלץ ,HELEZ ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון
801 ,חמד ,HEMED ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן
422 ,חרב לאת ,HEREV LE'ET ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר
3717 ,חרמש ,HERMESH ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון
162 ,חירות ,HERUT ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון
6400 ,הרצליה ,HERZELIYYA ,51 ,תל אביב ,57 ,הרצליה ,0 ,
1110 ,חבר ,HEVER ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע
219 ,חיבת ציון ,HIBBAT ZIYYON ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר
1208 ,הילה ,HILLA ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף
3643 ,חיננית ,HINNANIT ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון
9700 ,הוד השרון ,HOD HASHARON ,42 ,פתח תקווה ,47 ,כפר סבא ,0 ,
1322 ,הודיות ,HODAYOT ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון
726 ,הודיה ,HODIYYA ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון
115 ,חופית ,HOFIT ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר
205 ,חגלה ,HOGLA ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר
1239 ,חולית ,HOLIT ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול
6600 ,חולון ,HOLON ,53 ,חולון ,53 ,חולון ,0 ,
3642 ,חומש ,HOMESH ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון
355 ,חורשים ,HORESHIM ,42 ,פתח תקווה ,349 ,ראש העין ,20 ,דרום השרון
662 ,חוסן ,HOSEN ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף
1186 ,הושעיה ,HOSHA'AYA ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל
948 ,חוג'ייראת (ד'הרה) ,HUJEIRAT (DAHRA) ,24 ,עכו ,24 ,עכו ,56 ,משגב
253 ,חולתה ,HULATA ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון
160 ,חולדה ,HULDA ,43 ,רמלה ,43 ,רמלה ,30 ,גזר
374 ,חוקוק ,HUQOQ ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן
1303 ,חורה ,HURA ,62 ,באר שבע ,62 ,באר שבע ,0 ,
496 ,חורפיש ,HURFEISH ,24 ,עכו ,24 ,עכו ,0 ,
1332 ,חוסנייה ,HUSSNIYYA ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב
956 ,הוזייל (שבט) ,HUZAYYEL ,62 ,באר שבע ,62 ,באר שבע ,0 ,
529 ,אעבלין ,I'BILLIN ,24 ,עכו ,24 ,עכו ,0 ,
3891 ,איבי הנחל ,IBBE HANAHAL ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון
338 ,איבים ,IBBIM ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב
652 ,אבטין ,IBTIN ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון
1175 ,עידן ,IDDAN ,62 ,באר שבע ,62 ,באר שבע ,54 ,הערבה התיכונה
478 ,אכסאל ,IKSAL ,23 ,עפולה ,23 ,עפולה ,0 ,
49 ,אילניה ,ILANIYYA ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון
511 ,עילוט ,ILUT ,25 ,נצרת ,25 ,נוף הגליל ,0 ,
3660 ,עמנואל ,IMMANU'EL ,73 ,טול כרם ,349 ,ראש העין ,0 ,
1187 ,עיר אובות ,IR OVOT ,62 ,באר שבע ,62 ,באר שבע ,54 ,הערבה התיכונה
1336 ,אירוס ,IRUS ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה
534 ,עספיא ,ISIFYA ,31 ,חיפה ,31 ,חיפה ,0 ,
3762 ,איתמר ,ITAMAR ,72 ,שכם ,48 ,אריאל ,72 ,שומרון
628 ,ג'ת ,JAAT ,32 ,חדרה ,32 ,חדרה ,0 ,
627 ,ג'לג'וליה ,JALJULYE ,42 ,פתח תקווה ,47 ,כפר סבא ,0 ,
3000 ,ירושלים ,JERUSALEM ,11 ,ירושלים ,11 ,ירושלים ,0 ,
487 ,ג'ש (גוש חלב) ,JISH(GUSH HALAV) ,21 ,צפת ,21 ,צפת ,0 ,
541 ,ג'סר א-זרקא ,JISR AZ-ZARQA ,32 ,חדרה ,32 ,חדרה ,0 ,
1292 ,ג'דיידה-מכר ,JUDEIDE-MAKER ,24 ,עכו ,24 ,עכו ,0 ,
485 ,ג'ולס ,JULIS ,24 ,עכו ,24 ,עכו ,0 ,
976 ,ג'נאביב (שבט) ,JUNNABIB ,62 ,באר שבע ,62 ,באר שבע ,0 ,
978 ,כעביה-טבאש-חג'אג'רה ,KA'ABIYYE-TABBASH-HA ,25 ,נצרת ,25 ,נוף הגליל ,0 ,
576 ,כברי ,KABRI ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר
504 ,כאבול ,KABUL ,24 ,עכו ,24 ,עכו ,0 ,
3729 ,כדים ,KADDIM ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון
1338 ,כדיתה ,KADDITA ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל
371 ,כדורי ,KADOORIE ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון
633 ,כפר ברא ,KAFAR BARA ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 ,
508 ,כפר כמא ,KAFAR KAMA ,22 ,כנרת ,22 ,טבריה ,0 ,
509 ,כפר כנא ,KAFAR KANNA ,25 ,נצרת ,25 ,נוף הגליל ,0 ,
510 ,כפר מנדא ,KAFAR MANDA ,24 ,עכו ,25 ,נוף הגליל ,0 ,
512 ,כפר מצר ,KAFAR MISR ,25 ,נצרת ,23 ,עפולה ,66 ,בוסתאן אל-מרג'
654 ,כפר קרע ,KAFAR QARA ,32 ,חדרה ,32 ,חדרה ,0 ,
634 ,כפר קאסם ,KAFAR QASEM ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 ,
507 ,כפר יאסיף ,KAFAR YASIF ,24 ,עכו ,24 ,עכו ,0 ,
1210 ,כחל ,KAHAL ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון
1229 ,כלנית ,KALLANIT ,22 ,כנרת ,22 ,טבריה ,2 ,מרום הגליל
1201 ,כמון ,KAMMON ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב
4028 ,כנף ,KANAF ,29 ,גולן ,22 ,טבריה ,71 ,גולן
3902 ,כנפי שחר ,KANFE SHAHAR ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין
2006 ,כנות ,KANNOT ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה
505 ,כאוכב אבו אל-היג'א ,KAOKAB ABU AL-HIJA ,24 ,עכו ,24 ,עכו ,0 ,
